492,459,488
419,373,404
478,435,461
419,404,451
322,271,289
224,188,192
255,207,223
224,192,238
439,379,410
315,254,285
375,310,340
315,285,342
322,289,356
255,223,288
385,348,413
255,288,319
492,473,459
454,433,418
419,400,373
454,418,438
411,392,368
369,346,327
325,302,284
369,327,343
322,297,271
267,257,230
224,208,188
267,230,245
411,368,396
325,284,301
378,323,352
325,301,354
507,489,465
468,441,423
416,397,370
468,423,445
412,386,363
360,338,317
318,300,270
360,317,339
321,296,272
266,247,218
227,201,175
266,218,248
412,363,394
318,270,293
374,320,344
318,293,341
507,465,495
416,370,402
481,436,452
416,402,449
321,272,295
227,175,198
262,213,249
227,198,246
426,376,401
326,276,303
372,328,353
326,303,345
321,295,355
262,249,299
383,359,408
262,299,324
592,615,602
635,640,630
609,620,598
635,630,622
642,632,633
623,608,616
625,618,603
623,616,624
584,583,565
582,581,557
539,535,515
582,557,564
642,633,636
625,603,604
629,606,607
625,604,627
592,594,615
596,589,619
635,637,640
596,619,617
578,567,599
553,534,558
613,588,601
553,558,586
642,638,632
631,611,614
623,610,608
631,614,628
578,599,612
613,601,621
639,634,641
613,621,626
62,38,59
20,9,25
57,41,64
20,25,36
4,5,12
6,15,18
23,29,40
6,18,13
75,72,98
67,63,86
122,117,139
67,86,95
4,12,16
23,40,43
31,47,50
23,43,27
62,55,38
44,58,30
20,17,9
44,30,34
70,82,56
96,113,92
39,60,42
96,92,65
4,2,5
1,22,10
6,11,15
1,10,3
70,56,37
39,42,19
14,7,8
39,19,26
308,307,362
306,309,357
403,398,448
306,357,361
311,312,350
313,314,347
388,387,422
313,347,351
487,474,517
469,463,499
545,536,571
469,499,511
311,350,358
388,422,428
393,432,442
388,428,391
308,265,307
220,177,225
306,268,309
220,225,264
137,101,143
73,49,77
147,112,158
73,77,107
311,274,312
239,202,243
313,277,314
239,243,275
137,143,183
147,158,191
229,234,269
147,191,186
329,365,330
407,447,406
331,364,333
407,406,367
479,514,486
544,568,547
491,522,500
544,547,519
334,381,336
430,471,427
337,380,335
430,427,382
479,486,444
491,500,462
405,417,366
491,462,450
329,330,290
331,333,292
250,252,211
331,292,291
334,336,279
337,335,282
228,231,184
337,282,281
181,174,150
167,160,133
123,111,93
167,133,145
334,279,294
228,184,199
256,209,212
228,199,242
308,362,340
403,448,437
375,424,410
403,437,390
487,517,525
545,571,577
559,585,573
545,577,551
439,484,461
521,554,533
478,510,488
521,533,502
487,525,475
559,573,540
470,498,453
559,540,516
316,338,349
360,386,395
384,409,421
360,395,371
412,441,458
468,489,513
497,528,541
468,513,483
456,490,493
520,552,560
526,563,561
520,560,523
412,458,420
497,541,505
429,480,446
497,505,464
492,508,473
530,556,512
454,476,433
530,512,494
579,597,569
605,600,576
555,548,518
605,576,580
411,434,392
457,466,431
369,389,346
457,431,414
579,569,543
555,518,506
501,477,460
555,506,531
507,495,537
481,452,496
562,538,575
481,496,524
426,401,443
372,353,399
455,440,482
372,399,415
587,566,591
542,527,546
595,574,593
542,546,570
426,443,472
455,482,503
509,529,549
455,503,485
159,131,162
105,83,114
164,141,179
105,114,134
61,45,69
33,32,51
78,76,104
33,51,54
194,176,222
161,148,189
253,236,283
161,189,206
61,69,90
78,104,118
119,138,154
78,118,97
132,153,106
172,200,156
85,110,66
172,156,127
226,251,210
273,298,260
197,219,182
273,260,235
46,68,35
94,126,84
21,48,24
94,84,53
226,210,180
197,182,140
136,115,89
197,140,166
159,173,139
195,216,169
122,135,98
195,169,157
240,261,217
286,304,263
196,221,187
286,263,237
75,91,64
103,142,116
57,87,59
103,116,79
240,217,193
196,187,146
152,128,109
196,146,171
132,113,151
96,82,124
168,163,203
96,124,130
70,58,88
44,55,71
102,100,125
44,71,74
233,215,259
204,170,214
287,258,305
204,214,241
70,88,108
102,125,149
155,178,190
102,149,129
419,451,459
322,356,373
385,413,435
385,435,404
224,238,271
159,162,188
164,179,207
164,207,192
315,342,379
194,222,254
253,283,310
253,310,285
255,319,289
194,254,223
315,379,348
315,348,288
454,438,473
411,396,433
378,352,400
378,400,418
369,343,392
329,304,346
286,261,302
286,302,327
